method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean,entropy_neigh_mean,frontier_selected,frontier_rank,frontier_cand_mean
sequential,c_mov,0.2,0.3,0.13333333333333333,0,rrg,257,0.20000003,0.22086222,0.06919227,11,0.46666673,0.3771236,1,1.8128425,1.9284822,1.3734144,0.26666668,13,0.12502798
sequential,c_mov,0.2,0.3,0.13666666666666666,0,rrg,57,0.2,0.2083449,0.044938695,21,0.46666667,0.37712362,1,1.7406757,1.9657171,1.217257,0.26666668,6,0.09611251
sequential,c_mov,0.2,0.3,0.14,0,rrg,3,0.19999993,0.22086222,0.069192246,58,0.46666667,0.37712362,1,1.7562337,1.9381412,1.2763146,0.26666674,9,0.128639
sequential,c_mov,0.2,0.3,0.14333333333333334,0,rrg,56,0.20000002,0.22086222,0.06919225,20,0.2,2.1073424e-08,1,2.1266758,1.9406515,2.082055,2.4835268e-08,58,0.11835926
sequential,c_mov,0.2,0.3,0.14666666666666667,0,rrg,233,0.20000002,0.21251737,0.054561935,24,0.2834491,0.1180148,1,1.9900873,1.9164208,1.8714682,0.0834491,27,0.14028594
sequential,c_mov,0.2,0.3,0.15,0,rrg,232,0.20000003,0.21251734,0.054561913,11,0.2,2.8533552e-08,1,2.061694,1.9485176,1.9970723,2.4835268e-08,55,0.11002508
sequential,c_mov,0.2,0.3,0.15333333333333332,0,rrg,76,0.2,0.20834488,0.04493869,27,0.19999999,2.4333495e-08,1,2.0650396,1.9446853,2.0039713,2.4835268e-08,53,0.11389926
sequential,c_mov,0.2,0.3,0.15666666666666668,0,rrg,170,0.20000002,0.20834489,0.04493869,20,0.46666667,0.37712362,1,1.8007472,1.9137473,1.3341303,0.26666668,10,0.1391748
sequential,c_mov,0.2,0.3,0.16,0,rrg,226,0.20000008,0.2083449,0.04493866,7,0.19999999,7.3000486e-08,1,2.1534705,1.9183743,2.1247835,8.940697e-08,32,0.13941965
sequential,c_mov,0.2,0.3,0.16333333333333333,0,rrg,62,0.19999997,0.21668978,0.062447555,43,0.2,3.5471857e-08,1,1.9859576,1.9004531,1.8946357,4.4703484e-08,47,0.15252359
sequential,c_mov,0.2,0.3,0.16666666666666666,0,rrg,51,0.20000002,0.22086225,0.06919229,16,0.2,8.603189e-09,1,2.1495755,1.8547345,2.117211,9.934108e-09,58,0.1841908
sequential,c_mov,0.2,0.3,0.17,0,rrg,87,0.2,0.21251732,0.054561872,23,0.46666667,0.37712362,1,1.7463986,1.862179,1.2338156,0.26666668,18,0.1739159
sequential,c_mov,0.2,0.3,0.17333333333333334,0,rrg,64,0.19999991,0.20417245,0.03204922,59,0.19999997,3.6500243e-08,0,2.16989,1.9059513,2.1457775,5.9604645e-08,36,0.13111831
sequential,c_mov,0.2,0.3,0.17666666666666667,0,rrg,13,0.45034716,0.2100687,0.056006137,2,0.13333331,0.09428089,1,1.5446905,1.912042,1.1398067,0.31701383,6,0.13363998
