method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean,entropy_neigh_mean,frontier_selected,frontier_rank,frontier_cand_mean
sequential,mov,0.2,0.3,0.3,0,rrg,24,0.14889807,0.19196469,0.19439144,28,0.29121754,0.33500436,0,1.9863149,2.0093775,1.0106214,0.26538578,15,0.17371601
sequential,mov,0.2,0.3,0.30333333333333334,0,rrg,291,0.31213295,0.20009895,0.23403494,8,0.069068216,0.09764906,0,1.8519785,2.0187662,0.74323016,0.24306475,13,0.15875237
sequential,mov,0.2,0.3,0.30666666666666664,0,rrg,141,0.15771939,0.17008309,0.20180018,21,0.028978242,0.040981278,0,1.7661151,1.9944195,0.70064884,0.12874115,17,0.14168455
sequential,mov,0.2,0.3,0.31,0,rrg,150,0.14750285,0.19393255,0.23201206,26,0.38336524,0.4373503,0,1.7912552,2.0182657,0.75762486,0.3341976,9,0.15244918
sequential,mov,0.2,0.3,0.31333333333333335,0,rrg,108,0.06692106,0.15488848,0.20276564,40,0.034561135,0.048876826,0,1.6970164,2.0546544,0.68528897,0.056868155,36,0.13101266
sequential,mov,0.2,0.3,0.31666666666666665,0,rrg,179,0.16044384,0.17311984,0.23721024,16,0.14671095,0.04580508,0,2.4036443,1.9922587,2.3778594,0.046032082,36,0.15087731
sequential,mov,0.2,0.3,0.32,0,rrg,158,0.29279378,0.15047221,0.172244,4,0.04689085,0.034991406,0,2.0588708,2.0414433,1.5955286,0.24590294,11,0.1332937
sequential,mov,0.2,0.3,0.3233333333333333,0,rrg,98,0.09147866,0.13272782,0.14952642,35,0.19269119,0.17823608,0,2.168267,2.06038,1.3483633,0.1621983,13,0.114463106
sequential,mov,0.2,0.3,0.32666666666666666,0,rrg,170,0.16628717,0.17394899,0.23805147,15,0.09173725,0.067357466,0,2.0933092,1.9820535,1.5429721,0.07454992,21,0.15535396
sequential,mov,0.2,0.3,0.33,0,rrg,238,0.41558152,0.17664719,0.18163334,4,0.14461379,0.102952,1,1.7021906,2.0489652,1.3554211,0.27096775,11,0.14398853
sequential,mov,0.2,0.3,0.3333333333333333,0,rrg,227,0.21622738,0.1470792,0.16907874,6,0.46107206,0.38808903,0,1.7529634,2.0379775,1.3795795,0.32121977,5,0.13081045
sequential,mov,0.2,0.3,0.33666666666666667,0,rrg,53,0.2525912,0.13154979,0.1284293,3,0.10967195,0.08849255,0,2.0418913,2.117585,1.5003515,0.14291924,14,0.119860135
sequential,mov,0.2,0.3,0.34,0,rrg,129,0.17839085,0.13221931,0.16188453,11,0.14080997,0.042244405,0,2.3996894,2.0709963,2.3512495,0.050459474,30,0.09437184
sequential,mov,0.2,0.3,0.3433333333333333,0,rrg,283,0.48059118,0.13725734,0.10525153,2,0.11090905,0.12090496,1,1.6038871,2.097345,1.3320707,0.3696821,3,0.11726571
sequential,mov,0.2,0.3,0.3466666666666667,0,rrg,161,0.4158935,0.1644086,0.20232965,4,0.05826357,0.07203187,0,1.8484448,2.024659,1.4735006,0.35762993,6,0.16656668
sequential,mov,0.2,0.3,0.35,0,rrg,295,0.34245005,0.1875611,0.2402041,7,0.031024082,0.043874614,0,1.7585806,1.9695386,0.7179828,0.31142598,10,0.15121962
sequential,mov,0.2,0.3,0.35333333333333333,0,rrg,5,0.17370474,0.14856194,0.17400256,12,0.03963575,0.05593942,0,1.5001498,2.0245993,0.6699524,0.134069,14,0.13180585
sequential,mov,0.2,0.3,0.3566666666666667,0,rrg,35,0.2802764,0.1382534,0.18526585,5,0.4078227,0.42855567,0,1.6416076,2.0421143,0.6867145,0.3522694,5,0.123131305
sequential,mov,0.2,0.3,0.36,0,rrg,289,0.34399056,0.18008208,0.23779325,6,0.02932293,0.041468885,0,1.6164777,1.9784921,0.787649,0.3146676,10,0.15731885
sequential,mov,0.2,0.3,0.36333333333333334,0,rrg,209,0.15582508,0.13339683,0.17170003,15,0.118278064,0.096565105,0,2.1841898,2.0313823,1.413277,0.091353774,18,0.1277606
sequential,mov,0.2,0.3,0.36666666666666664,0,rrg,231,0.14308047,0.15544555,0.20368588,19,0.13683502,0.076740116,0,2.3975568,2.0085998,2.2789586,0.063529156,25,0.13162476
sequential,mov,0.2,0.3,0.37,0,rrg,22,0.19145471,0.16890119,0.23380636,11,0.59395385,0.35321146,0,1.6919458,1.9254069,1.1480645,0.4374865,5,0.16504775
sequential,mov,0.2,0.3,0.37333333333333335,0,rrg,290,0.2541238,0.11788125,0.13060586,3,0.029263945,0.041385297,0,1.7996573,2.11531,0.57791567,0.22485988,9,0.113365315
sequential,mov,0.2,0.3,0.37666666666666665,0,rrg,13,0.18867314,0.116556354,0.12633702,5,0.42448023,0.40956652,0,1.8062668,2.0779834,1.4314995,0.30815378,9,0.12279118
sequential,mov,0.2,0.3,0.38,0,rrg,155,0.15665899,0.13613297,0.19180302,13,0.38207114,0.43703103,0,1.9594091,1.9866458,1.4334968,0.3368152,11,0.15313858
sequential,mov,0.2,0.3,0.38333333333333336,0,rrg,273,0.19574861,0.18271856,0.23251085,12,0.15898418,0.056020454,0,2.2456791,1.9843606,2.1648738,0.05255414,40,0.15577099
sequential,mov,0.2,0.3,0.38666666666666666,0,rrg,11,0.10581747,0.15212274,0.22116569,20,0.08025537,0.11349822,0,1.9104475,1.9616166,0.7419668,0.115527846,18,0.15131578
sequential,mov,0.2,0.3,0.39,0,rrg,190,0.15140387,0.1301663,0.13744432,17,0.39084926,0.43077677,0,1.9667578,2.0572536,1.4497553,0.32628492,11,0.14417972
sequential,mov,0.2,0.3,0.3933333333333333,0,rrg,39,0.10402155,0.13331904,0.17904305,25,0.042559814,0.040893387,0,2.1077986,2.0249863,1.3825675,0.061461736,27,0.1280659
sequential,mov,0.2,0.3,0.39666666666666667,0,rrg,244,0.15572043,0.163419,0.20576067,15,0.19481683,0.096603185,0,2.2871394,1.9779218,2.1903389,0.07658779,31,0.17420264
sequential,mov,0.2,0.3,0.4,0,rrg,246,0.13557142,0.17039217,0.24599543,16,0.04383907,0.061997812,0,2.006596,1.937827,0.77334553,0.091732346,18,0.14705582
sequential,mov,0.2,0.3,0.4033333333333333,0,rrg,104,0.08905788,0.18063442,0.25797877,30,0.38032123,0.44128504,0,2.3376136,1.8821347,1.4657739,0.3463218,10,0.17015976
sequential,mov,0.2,0.3,0.4066666666666667,0,rrg,119,0.5548105,0.1707966,0.23760779,5,0.098814964,0.13974036,1,1.4115825,1.9605985,0.5990312,0.45599556,6,0.16849981
sequential,mov,0.2,0.3,0.41,0,rrg,284,0.10915909,0.14409362,0.19641364,22,0.0935662,0.046508845,0,2.3104377,1.9837706,2.1240609,0.04427381,38,0.13716291
sequential,mov,0.2,0.3,0.41333333333333333,0,rrg,142,0.19635406,0.17462875,0.26404178,9,0.07895211,0.060433466,0,2.0619495,1.8786807,1.4498509,0.11740196,16,0.16440964
sequential,mov,0.2,0.3,0.4166666666666667,0,rrg,76,0.14715913,0.1420973,0.20737305,14,0.11066712,0.040241998,0,2.418339,1.9481313,2.3375266,0.050028328,33,0.1368083
sequential,mov,0.2,0.3,0.42,0,rrg,66,0.18325594,0.17756896,0.23335056,17,0.046390373,0.064729564,0,2.0434444,1.9124331,0.7962055,0.13686557,18,0.16974212
sequential,mov,0.2,0.3,0.42333333333333334,0,rrg,12,0.26326814,0.11591414,0.11132768,4,0.5072202,0.3827237,0,1.7929096,2.0022326,1.278957,0.37483534,3,0.12402884
sequential,mov,0.2,0.3,0.4266666666666667,0,rrg,125,0.68985605,0.15481707,0.23277192,5,0.060358554,0.07486193,1,1.1497484,1.8745494,0.8232809,0.62949747,5,0.15785018
sequential,mov,0.2,0.3,0.43,0,rrg,198,0.07526277,0.12958853,0.15449475,37,0.10403835,0.07543393,0,2.22857,1.9812793,1.3983831,0.078950755,25,0.13709019
sequential,mov,0.2,0.3,0.43333333333333335,0,rrg,240,0.30106723,0.20586178,0.29039314,10,0.09022043,0.12759095,1,1.7336093,1.8008683,0.6160937,0.2108468,21,0.22699891
sequential,mov,0.2,0.3,0.43666666666666665,0,rrg,46,0.20621185,0.15952131,0.23393293,11,0.39161527,0.43607473,0,1.6204131,1.8745189,0.6674459,0.34378865,11,0.18070535
sequential,mov,0.2,0.3,0.44,0,rrg,36,0.16702245,0.14237644,0.21062177,11,0.33305043,0.47100446,0,1.5352358,1.9239194,0.0027376302,0.38872457,6,0.15719362
sequential,mov,0.2,0.3,0.44333333333333336,0,rrg,71,0.102035016,0.1460735,0.19253941,30,0.06525208,0.09228038,0,1.9680947,1.9672623,0.68585664,0.09926375,20,0.15727998
sequential,mov,0.2,0.3,0.44666666666666666,0,rrg,82,0.16474259,0.1664477,0.23642966,13,0.11588181,0.0917921,0,1.9775227,1.9044787,1.1229364,0.08869281,17,0.16404383
sequential,mov,0.2,0.3,0.45,0,rrg,31,0.22946726,0.15464292,0.22656968,9,0.085369706,0.12073051,0,1.7684779,1.8981348,0.7202701,0.16185834,16,0.16205065
sequential,mov,0.2,0.3,0.4533333333333333,0,rrg,152,0.70967,0.18586943,0.2649278,6,0.39400867,0.43484628,1,1.0292821,1.8336083,0.65643364,0.5092147,8,0.20478614
sequential,mov,0.2,0.3,0.45666666666666667,0,rrg,50,0.18133688,0.19637991,0.27535453,13,0.46149054,0.37720048,0,1.8877059,1.8432267,1.2855175,0.36464962,11,0.20690675
sequential,mov,0.2,0.3,0.46,0,rrg,215,0.20150304,0.14753447,0.22193673,8,7.938767e-07,1.1227112e-06,0,1.5119624,1.9408493,6.204895e-05,0.20150225,13,0.14265446
