O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1,method,sim,delta,lam,rho
0.82,0.83244056,0.35714285714285704,0.16061623,3.6031248694895455,4.2745686,13.411764705882353,1.0,0.47058823529411764,0.6399999999999999,gnn,0,0.3,0.3,0.52
0.78,0.84553635,0.21428571428571447,0.22621922,7.431716937397653,6.9592605,13.764705882352942,0.8,0.47058823529411764,0.5925925925925927,random,0,0.3,0.3,0.52
0.84,0.838435,0.4285714285714285,0.19064519,3.331347722303483,4.0577354,12.529411764705882,1.0,0.5294117647058824,0.6923076923076924,gnn,0,0.3,0.3,0.54
0.8,0.8561398,0.2857142857142859,0.27933675,6.03311455276776,6.145933,13.117647058823529,0.8181818181818182,0.5294117647058824,0.6428571428571428,random,0,0.3,0.3,0.54
0.86,0.8444293,0.5,0.22067355,3.280558130162621,4.010743,12.647058823529411,1.0,0.5882352941176471,0.7407407407407407,gnn,0,0.3,0.3,0.56
0.8,0.86247003,0.2857142857142859,0.31104794,6.05360998529944,6.108697,12.705882352941176,0.8181818181818182,0.5294117647058824,0.6428571428571428,random,0,0.3,0.3,0.56
0.86,0.85042787,0.5,0.2507231,3.1940387586177614,3.5910616,12.058823529411764,1.0,0.5882352941176471,0.7407407407407407,gnn,0,0.3,0.3,0.58
0.8,0.8645843,0.2857142857142859,0.32163945,5.887257343883185,6.067962,12.176470588235293,0.8181818181818182,0.5294117647058824,0.6428571428571428,random,0,0.3,0.3,0.58
0.86,0.8504427,0.5,0.25079745,3.194033143303788,3.5907447,11.941176470588236,1.0,0.5882352941176471,0.7407407407407407,gnn,0,0.3,0.3,0.6
0.82,0.8702311,0.35714285714285704,0.34992674,5.393081659026308,5.5490446,11.352941176470589,0.8333333333333334,0.5882352941176471,0.6896551724137931,random,0,0.3,0.3,0.6
0.86,0.85600823,0.5,0.27867776,3.168862583380603,3.5616055,11.882352941176471,1.0,0.5882352941176471,0.7407407407407407,gnn,0,0.3,0.3,0.62
0.84,0.8789669,0.4285714285714285,0.39368865,5.424343813612373,5.507071,11.117647058823529,0.8461538461538461,0.6470588235294118,0.7333333333333334,random,0,0.3,0.3,0.62
0.88,0.8620026,0.5714285714285715,0.30870643,3.1033824575505884,3.4415338,10.764705882352942,1.0,0.6470588235294118,0.7857142857142858,gnn,0,0.3,0.3,0.64
0.84,0.889735,0.4285714285714285,0.44763088,6.072036823053212,5.0374756,10.941176470588236,0.8461538461538461,0.6470588235294118,0.7333333333333334,random,0,0.3,0.3,0.64
0.88,0.86907613,0.5714285714285715,0.344141,3.0638304790357767,3.3475268,10.647058823529411,1.0,0.6470588235294118,0.7857142857142858,gnn,0,0.3,0.3,0.66
0.84,0.89573425,0.4285714285714285,0.47768402,5.988506578541789,4.957835,10.823529411764707,0.8461538461538461,0.6470588235294118,0.7333333333333334,random,0,0.3,0.3,0.66
