O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1,method,sim,delta,lam,rho
0.82,0.8121663,0.09999999999999956,0.053239323,7.770080732741692,9.838218,13.583333333333334,0.7142857142857143,0.4166666666666667,0.5263157894736842,random,0,0.3,0.3,0.34
0.8,0.82628715,0.0,0.12441446,3.638386195187553,5.3980036,15.833333333333334,0.6,0.5,0.5454545454545454,gnn,0,0.3,0.3,0.36
0.84,0.8105128,0.19999999999999968,0.044905026,7.534539343732933,10.215214,13.833333333333334,0.8333333333333334,0.4166666666666667,0.5555555555555556,random,0,0.3,0.3,0.36
0.8,0.8322868,0.0,0.15465508,3.5929901196054788,5.019844,15.0,0.6,0.5,0.5454545454545454,gnn,0,0.3,0.3,0.38
0.84,0.8127049,0.19999999999999968,0.05595433,6.959681179908702,10.049572,14.333333333333334,0.8333333333333334,0.4166666666666667,0.5555555555555556,random,0,0.3,0.3,0.38
0.8,0.83828646,0.0,0.184896,3.5349915401423018,4.8200397,14.166666666666666,0.6,0.5,0.5454545454545454,gnn,0,0.3,0.3,0.4
0.84,0.8178348,0.19999999999999968,0.08181104,6.832555594933765,9.968899,12.75,0.8333333333333334,0.4166666666666667,0.5555555555555556,random,0,0.3,0.3,0.4
0.82,0.84428495,0.09999999999999956,0.21513091,3.2309088042279335,4.508273,13.166666666666666,0.6363636363636364,0.5833333333333334,0.6086956521739131,gnn,0,0.3,0.3,0.42
0.84,0.8268658,0.19999999999999968,0.12733105,6.935229319351372,9.628998,12.333333333333334,0.8333333333333334,0.4166666666666667,0.5555555555555556,random,0,0.3,0.3,0.42
0.82,0.85274816,0.09999999999999956,0.25778902,3.1140991688665194,4.317425,13.0,0.6363636363636364,0.5833333333333334,0.6086956521739131,gnn,0,0.3,0.3,0.44
0.82,0.8406027,0.09999999999999956,0.1965708,6.267428184292911,7.620171,11.25,0.7142857142857143,0.4166666666666667,0.5263157894736842,random,0,0.3,0.3,0.44
0.82,0.858748,0.09999999999999956,0.28803083,3.0690573839689352,4.1720705,12.416666666666666,0.6363636363636364,0.5833333333333334,0.6086956521739131,gnn,0,0.3,0.3,0.46
0.82,0.848058,0.09999999999999956,0.23414859,6.1672729951016745,6.831665,13.0,0.7142857142857143,0.4166666666666667,0.5263157894736842,random,0,0.3,0.3,0.46
0.82,0.8647477,0.09999999999999956,0.31827176,3.07732120793042,3.958601,12.75,0.6363636363636364,0.5833333333333334,0.6086956521739131,gnn,0,0.3,0.3,0.48
0.84,0.8476634,0.19999999999999968,0.23215972,5.650354236500071,6.651223,11.5,0.75,0.5,0.6,random,0,0.3,0.3,0.48
0.82,0.8731063,0.09999999999999956,0.36040258,3.07298428463703,3.8481677,12.416666666666666,0.6363636363636364,0.5833333333333334,0.6086956521739131,gnn,0,0.3,0.3,0.5
0.84,0.85464376,0.19999999999999968,0.26734367,5.8128358256383255,6.5252647,11.083333333333334,0.75,0.5,0.6,random,0,0.3,0.3,0.5
