O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1,method,sim,delta,lam,rho
0.76,0.8353936,0.14285714285714296,0.14605124,7.663402542595231,8.035679,13.722222222222221,1.0,0.3333333333333333,0.5,gnn,0,0.3,0.3,0.52
0.84,0.8576951,0.4285714285714285,0.26174745,6.043323688045498,6.892223,12.666666666666666,0.8125,0.7222222222222222,0.7647058823529411,random,0,0.3,0.3,0.52
0.78,0.8413881,0.21428571428571447,0.17714964,7.498575242543376,7.9160924,13.61111111111111,1.0,0.3888888888888889,0.56,gnn,0,0.3,0.3,0.54
0.84,0.86369437,0.4285714285714285,0.29287058,6.026072109081476,6.766713,12.555555555555555,0.8125,0.7222222222222222,0.7647058823529411,random,0,0.3,0.3,0.54
0.78,0.84588003,0.21428571428571447,0.20045294,7.189213656981568,7.1803126,13.38888888888889,1.0,0.3888888888888889,0.56,gnn,0,0.3,0.3,0.56
0.82,0.87781024,0.35714285714285704,0.3661012,5.957351585881752,6.0333033,12.222222222222221,0.8,0.6666666666666666,0.7272727272727272,random,0,0.3,0.3,0.56
0.78,0.8518786,0.21428571428571447,0.23157236,6.717665867519123,6.619045,12.88888888888889,1.0,0.3888888888888889,0.56,gnn,0,0.3,0.3,0.58
0.82,0.8778253,0.35714285714285704,0.36617944,5.958835692437094,6.03305,12.0,0.8,0.6666666666666666,0.7272727272727272,random,0,0.3,0.3,0.58
0.76,0.8502589,0.14285714285714296,0.22316967,6.142357744016076,6.335755,13.333333333333334,0.875,0.3888888888888889,0.5384615384615385,gnn,0,0.3,0.3,0.6
0.82,0.8819957,0.35714285714285704,0.38781452,5.501806661176042,5.585236,11.777777777777779,0.8,0.6666666666666666,0.7272727272727272,random,0,0.3,0.3,0.6
0.76,0.85490525,0.14285714285714296,0.24727416,6.0611280066797155,6.0126023,12.555555555555555,0.875,0.3888888888888889,0.5384615384615385,gnn,0,0.3,0.3,0.62
0.84,0.8879929,0.4285714285714285,0.41892713,5.47187166493625,5.5588512,11.555555555555555,0.8125,0.7222222222222222,0.7647058823529411,random,0,0.3,0.3,0.62
0.78,0.8608997,0.21428571428571447,0.27837226,5.838457840982734,5.837367,12.277777777777779,0.8888888888888888,0.4444444444444444,0.5925925925925926,gnn,0,0.3,0.3,0.64
0.86,0.90234846,0.5,0.49340114,5.447948709110797,4.969409,11.722222222222221,0.8235294117647058,0.7777777777777778,0.7999999999999999,random,0,0.3,0.3,0.64
0.8,0.86689407,0.2857142857142859,0.30947003,5.461920824913229,5.5468516,12.0,0.9,0.5,0.6428571428571429,gnn,0,0.3,0.3,0.66
0.86,0.9066813,0.5,0.51587915,4.955220806582415,4.699564,11.666666666666666,0.8235294117647058,0.7777777777777778,0.7999999999999999,random,0,0.3,0.3,0.66
0.8,0.87187713,0.2857142857142859,0.3353213,5.378309371246469,5.44724,12.055555555555555,0.9,0.5,0.6428571428571429,gnn,0,0.3,0.3,0.68
0.88,0.9142696,0.5714285714285715,0.55524606,5.121658997899792,4.5350447,11.333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,random,0,0.3,0.3,0.68
0.82,0.8838362,0.35714285714285704,0.39736286,4.966696986249526,4.855928,11.444444444444445,0.9090909090909091,0.5555555555555556,0.6896551724137931,gnn,0,0.3,0.3,0.7
0.88,0.9206017,0.5714285714285715,0.58809584,5.017814012108118,4.4770746,11.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,random,0,0.3,0.3,0.7
