O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1,method,sim,delta,lam,rho
0.8,0.8741264,0.3333333333333336,0.39819738,4.884663560300801,4.067309,13.833333333333334,0.8333333333333334,0.5555555555555556,0.6666666666666667,random,0,0.3,0.3,0.54
0.88,0.85707384,0.6000000000000001,0.31666914,3.564702349086695,4.4283943,11.61111111111111,0.9285714285714286,0.7222222222222222,0.8125000000000001,gnn,0,0.3,0.3,0.56
0.8,0.87917495,0.3333333333333336,0.42233464,4.941848679167128,3.9812102,13.88888888888889,0.8333333333333334,0.5555555555555556,0.6666666666666667,random,0,0.3,0.3,0.56
0.88,0.863164,0.6000000000000001,0.34578624,3.5530879373726423,4.394786,11.88888888888889,0.9285714285714286,0.7222222222222222,0.8125000000000001,gnn,0,0.3,0.3,0.58
0.82,0.8851722,0.3999999999999999,0.4510075,4.764087812877009,3.786526,13.555555555555555,0.8461538461538461,0.6111111111111112,0.7096774193548387,random,0,0.3,0.3,0.58
0.88,0.86314565,0.6000000000000001,0.34569848,3.5507065506083837,4.393226,12.11111111111111,0.9285714285714286,0.7222222222222222,0.8125000000000001,gnn,0,0.3,0.3,0.6
0.84,0.88959485,0.4666666666666666,0.4721523,4.546164871311137,3.621141,12.38888888888889,0.8571428571428571,0.6666666666666666,0.75,random,0,0.3,0.3,0.6
0.9,0.8691401,0.6666666666666667,0.37435794,3.4173093591034105,4.2068377,11.444444444444445,0.9333333333333333,0.7777777777777778,0.8484848484848485,gnn,0,0.3,0.3,0.62
0.86,0.8798582,0.5333333333333333,0.42560127,4.384791568534417,3.6854577,12.055555555555555,0.9230769230769231,0.6666666666666666,0.7741935483870968,random,0,0.3,0.3,0.62
0.92,0.8751346,0.7333333333333335,0.40301767,3.139245816085138,3.9419076,11.0,0.9375,0.8333333333333334,0.8823529411764706,gnn,0,0.3,0.3,0.64
0.86,0.8841909,0.5333333333333333,0.44631603,4.0835820505626454,3.2846246,12.055555555555555,0.9230769230769231,0.6666666666666666,0.7741935483870968,random,0,0.3,0.3,0.64
0.94,0.881129,0.7999999999999998,0.4316771,3.044822337087661,3.804588,10.61111111111111,0.9411764705882353,0.8888888888888888,0.9142857142857143,gnn,0,0.3,0.3,0.66
0.86,0.8902343,0.5333333333333333,0.47520944,4.059995738574904,3.1305912,11.38888888888889,0.9230769230769231,0.6666666666666666,0.7741935483870968,random,0,0.3,0.3,0.66
