O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1,method,sim,delta,lam,rho
0.8,0.83307475,-0.11111111111111056,0.12006886,5.497506503995267,6.5229445,13.538461538461538,0.7142857142857143,0.38461538461538464,0.5,gnn,0,0.3,0.3,0.48
0.88,0.8664581,0.33333333333333354,0.29604623,5.944573140856817,5.9545555,9.461538461538462,0.7692307692307693,0.7692307692307693,0.7692307692307693,random,0,0.3,0.3,0.48
0.82,0.83907205,0.0,0.15168308,5.419436117599905,6.4523616,12.307692307692308,0.75,0.46153846153846156,0.5714285714285714,gnn,0,0.3,0.3,0.5
0.88,0.8677467,0.33333333333333354,0.30283892,5.807770955328374,5.896731,9.538461538461538,0.7692307692307693,0.7692307692307693,0.7692307692307693,random,0,0.3,0.3,0.5
0.84,0.8450693,0.11111111111111117,0.18329698,5.381711596735908,6.2822895,10.846153846153847,0.7777777777777778,0.5384615384615384,0.6363636363636364,gnn,0,0.3,0.3,0.52
0.9,0.8737465,0.4444444444444447,0.33446634,5.772757371436269,5.859383,8.76923076923077,0.7857142857142857,0.8461538461538461,0.8148148148148148,random,0,0.3,0.3,0.52
0.84,0.8533275,0.11111111111111117,0.22682945,5.641884215891322,6.0239034,11.538461538461538,0.7777777777777778,0.5384615384615384,0.6363636363636364,gnn,0,0.3,0.3,0.54
0.9,0.88204736,0.4444444444444447,0.37822345,5.786435131873185,5.873678,8.461538461538462,0.7857142857142857,0.8461538461538461,0.8148148148148148,random,0,0.3,0.3,0.54
0.84,0.8644044,0.11111111111111117,0.28522015,5.724588333924986,5.6089644,11.076923076923077,0.7777777777777778,0.5384615384615384,0.6363636363636364,gnn,0,0.3,0.3,0.56
0.92,0.89644545,0.5555555555555559,0.4541217,5.985419474345161,5.014431,7.615384615384615,0.8,0.9230769230769231,0.8571428571428571,random,0,0.3,0.3,0.56
0.84,0.8675967,0.11111111111111117,0.3020481,5.344783071723107,5.4183016,11.384615384615385,0.7777777777777778,0.5384615384615384,0.6363636363636364,gnn,0,0.3,0.3,0.58
0.92,0.9104847,0.5555555555555559,0.52812815,5.751834982879793,4.3710084,7.461538461538462,0.8,0.9230769230769231,0.8571428571428571,random,0,0.3,0.3,0.58
0.84,0.8735929,0.11111111111111117,0.33365664,5.011317717147131,5.3343053,10.615384615384615,0.7777777777777778,0.5384615384615384,0.6363636363636364,gnn,0,0.3,0.3,0.6
0.92,0.9144859,0.5555555555555559,0.54922014,5.736845029415478,4.326399,7.461538461538462,0.8,0.9230769230769231,0.8571428571428571,random,0,0.3,0.3,0.6
0.86,0.8855816,0.22222222222222235,0.39685398,4.893907189259171,4.6404076,9.538461538461538,0.8,0.6153846153846154,0.6956521739130435,gnn,0,0.3,0.3,0.62
0.9,0.920366,0.4444444444444447,0.58021665,4.496402184757701,3.2673326,7.769230769230769,0.75,0.9230769230769231,0.8275862068965517,random,0,0.3,0.3,0.62
0.88,0.888664,0.33333333333333354,0.41310254,4.178756736596157,4.565976,9.0,0.8888888888888888,0.6153846153846154,0.7272727272727274,gnn,0,0.3,0.3,0.64
0.92,0.9263646,0.5555555555555559,0.61183774,4.438910236753551,3.2095652,7.230769230769231,0.7647058823529411,1.0,0.8666666666666666,random,0,0.3,0.3,0.64
0.88,0.88867193,0.33333333333333354,0.41314432,4.178778555132976,4.5658174,9.384615384615385,0.8888888888888888,0.6153846153846154,0.7272727272727274,gnn,0,0.3,0.3,0.66
0.94,0.91891396,0.6666666666666664,0.5725624,4.46648911590849,3.4311466,7.153846153846154,0.8125,1.0,0.896551724137931,random,0,0.3,0.3,0.66
0.88,0.89467156,0.33333333333333354,0.44477078,3.8935059230335343,4.539301,9.153846153846153,0.8888888888888888,0.6153846153846154,0.7272727272727274,gnn,0,0.3,0.3,0.68
0.92,0.92440414,0.5555555555555559,0.6015034,4.628770631723608,2.9105043,7.153846153846154,0.7647058823529411,1.0,0.8666666666666666,random,0,0.3,0.3,0.68
