method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean,entropy_neigh_mean
sequential,ov,0.1,0.3,0.9766666666666667,0,rrg,247,0.09996746,0.058612365,0.039550725,2,0.013975603,0.0195867,0,1.6885593,1.7377884,0.605479
sequential,ov,0.1,0.3,0.98,0,rrg,215,0.031286363,0.051719844,0.038631883,4,0.0032887645,0.004246661,0,2.1779423,1.7459933,0.7399346
sequential,ov,0.1,0.3,0.9833333333333333,0,rrg,248,0.099967435,0.05580654,0.041118126,2,0.029019482,0.04069827,1,1.5826628,1.6596035,0.51692116
sequential,ov,0.1,0.3,0.9866666666666667,0,rrg,121,0.00018699234,0.044766318,0.0387807,4,0.00012784913,4.9372025e-05,0,0.007347217,1.6788387,0.013892427
sequential,ov,0.1,0.3,0.99,0,rrg,220,0.060959782,0.05962609,0.033496346,2,0.3328456,0.4704835,0,2.2256956,2.2360027,0.017455785
sequential,ov,0.1,0.3,0.9933333333333333,0,rrg,126,0.01795103,0.058959246,0.041008215,2,0.029300949,0.020693973,0,2.028218,2.241156,1.4222869
sequential,ov,0.1,0.3,0.9966666666666667,0,rrg,255,0.099967465,0.099967465,0.0,1,0.07305565,0.055796254,0,2.454094,2.454094,1.6573035
sequential,ov,0.1,0.3,0.0,1,rrg,175,0.09996745,0.09996744,3.9658744e-08,13,0.09996742,3.573173e-08,1,1.4074316,1.1536682,1.0926876
sequential,ov,0.1,0.3,0.0033333333333333335,1,rrg,242,0.09996746,0.099967435,2.6828987e-08,7,0.09996748,2.8855975e-08,0,2.1659544,1.1500529,1.1371692
sequential,ov,0.1,0.3,0.006666666666666667,1,rrg,107,0.09996748,0.09996745,3.0779706e-08,2,0.09996744,1.3602837e-08,0,0.34066412,1.1710869,1.6508017
sequential,ov,0.1,0.3,0.01,1,rrg,39,0.09996743,0.099967435,2.8646813e-08,43,0.09996744,7.450581e-09,0,0.7910514,1.2391868,1.2683724
sequential,ov,0.1,0.3,0.013333333333333334,1,rrg,18,0.9939308,0.11801271,0.11494589,1,0.066756316,0.046990655,0,0.043145634,1.1841934,1.3857056
sequential,ov,0.1,0.3,0.016666666666666666,1,rrg,241,0.09996743,0.10326931,0.013356392,43,0.09996745,6.083374e-09,0,1.9194144,1.0905101,1.5659722
sequential,ov,0.1,0.3,0.02,1,rrg,143,0.0999674,0.104476914,0.01749971,54,0.09996745,4.3015946e-09,0,0.7910532,1.225486,1.4616319
sequential,ov,0.1,0.3,0.023333333333333334,1,rrg,240,0.09998373,0.10384543,0.01922143,9,0.099983715,1.0536712e-08,0,1.7221669,1.1430928,1.2975168
sequential,ov,0.1,0.3,0.02666666666666667,1,rrg,85,0.09998373,0.11002205,0.057764918,10,0.09998367,6.895981e-08,0,1.5556645,1.1552609,1.2011148
sequential,ov,0.1,0.3,0.03,1,rrg,190,0.099983715,0.10563535,0.023503888,32,0.09998369,8.603189e-09,0,1.0944214,1.1751761,0.7469918
sequential,ov,0.1,0.3,0.03333333333333333,1,rrg,20,0.92195094,0.12855102,0.12688509,1,0.06780839,0.045502808,0,0.40149918,1.177963,1.5032417
sequential,ov,0.1,0.3,0.03666666666666667,1,rrg,277,0.09998372,0.103062555,0.01909473,17,0.099983715,7.3000486e-08,0,1.9763827,1.1588857,0.7938051
sequential,ov,0.1,0.3,0.04,1,rrg,92,0.099983715,0.11154341,0.050757304,26,0.099983685,4.2146848e-08,0,0.7848265,1.2688988,1.3945006
sequential,ov,0.1,0.3,0.043333333333333335,1,rrg,217,0.09998377,0.114001445,0.060273193,8,0.0999837,1.8750217e-08,0,1.5556648,1.1255547,1.2110385
sequential,ov,0.1,0.3,0.04666666666666667,1,rrg,89,0.97444594,0.12456207,0.11575309,1,0.06704118,0.046587773,0,0.15620092,1.2850496,1.4624678
sequential,ov,0.1,0.3,0.05,1,rrg,44,0.099983715,0.10806408,0.027238412,37,0.09998373,9.618658e-09,0,0.33343813,1.2391397,1.0944198
sequential,ov,0.1,0.3,0.05333333333333334,1,rrg,196,0.099983715,0.12246678,0.07207331,27,0.099983715,1.8250121e-08,0,1.0944201,1.1851063,0.7940722
sequential,ov,0.1,0.3,0.056666666666666664,1,rrg,238,0.09998372,0.1195792,0.07809738,22,0.09998369,2.3164796e-08,0,2.362929,1.2417102,2.0796444
sequential,ov,0.1,0.3,0.06,1,rrg,67,0.10075967,0.11699751,0.05921134,9,0.08793368,0.017041385,0,0.33513916,1.3916706,0.9777806
sequential,ov,0.1,0.3,0.06333333333333334,1,rrg,62,0.099983715,0.10362899,0.023597734,26,0.24679752,0.2076261,0,0.33343813,1.546909,1.4987806
sequential,ov,0.1,0.3,0.06666666666666667,1,rrg,33,0.099983715,0.11512335,0.044203863,33,0.099983715,0.0,0,0.3334381,1.2488856,1.7900435
sequential,ov,0.1,0.3,0.07,1,rrg,120,0.46652532,0.12859645,0.0748864,1,0.0667495,0.047000185,1,0.6988694,1.117675,1.3777012
sequential,ov,0.1,0.3,0.07333333333333333,1,rrg,132,0.2136534,0.11536823,0.052232396,4,0.14686853,0.104907036,0,1.8407633,1.30243,0.70589346
sequential,ov,0.1,0.3,0.07666666666666666,1,rrg,45,0.0999837,0.1224542,0.08085355,44,0.09998372,9.618658e-09,0,0.3334381,1.2794482,1.6224159
sequential,ov,0.1,0.3,0.08,1,rrg,147,0.099983715,0.11074031,0.045194943,27,0.0999837,2.8855975e-08,0,0.78482705,1.3841692,1.2206497
