method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean
sequential,ov,0.1,0.3,0.0,0,rrg,1,0.09996747,0.09996747,0.0,1,0.09996745,9.618658e-09,1,0.6705184,0.6705183982849121
sequential,ov,0.1,0.3,0.16666666666666666,0,rrg,3,0.09996746,0.09996746,0.0,1,0.39938155,0.42343548,0,1.0857671,1.085767149925232
sequential,ov,0.1,0.3,0.3333333333333333,0,rrg,2,0.05826886,0.05826886,0.0,1,0.36553156,0.4492431,1,0.7370132,0.7370132207870483
sequential,ov,0.1,0.3,0.5,0,rrg,5,0.09993489,0.09993489,0.0,1,0.39876294,0.4226067,0,0.5232101,0.5232101082801819
sequential,ov,0.1,0.3,0.6666666666666666,0,rrg,0,0.14427483,0.14427483,0.0,1,0.37189952,0.44424832,0,0.5466007,0.5466006994247437
sequential,ov,0.1,0.3,0.8333333333333334,0,rrg,4,0.11460878,0.11460878,0.0,1,0.027925948,0.039178967,0,0.37548873,0.3754887282848358
sequential,mov,0.1,0.3,0.0,0,rrg,4,0.09996744,0.09996744,0.0,1,0.09996746,1.550962e-08,0,0.48863304,0.48863303661346436
sequential,mov,0.1,0.3,0.16666666666666666,0,rrg,1,0.3375268,0.3375268,0.0,1,0.15731885,0.045803834,1,0.90805805,0.9080580472946167
sequential,mov,0.1,0.3,0.3333333333333333,0,rrg,3,0.06885019,0.06885019,0.0,1,0.36817834,0.4476919,0,0.87909627,0.879096269607544
sequential,mov,0.1,0.3,0.5,0,rrg,5,0.099998996,0.099998996,0.0,1,0.65765023,0.46513647,0,0.21880703,0.21880702674388885
sequential,mov,0.1,0.3,0.6666666666666666,0,rrg,2,0.058271397,0.058271397,0.0,1,0.65397596,0.46267772,1,0.35314283,0.3531428277492523
sequential,mov,0.1,0.3,0.8333333333333334,0,rrg,0,0.9402354,0.9402354,0.0,1,0.3332999,0.47127005,0,0.059916895,0.059916894882917404
sequential,c_mov,0.1,0.3,0.0,0,rrg,2,0.09996745,0.09996745,0.0,1,0.09996747,8.603189e-09,1,0.601898,0.6018980145454407
